time,pos,bid,score,first,trump,tricks
1539530728,0,2,0,2,H,"D3,DQ,D10,D9;H10,HQ,HA,H5;SJ,S6,S7,S2;H4,H3,H2,H7;CK,C9,C7,C4;C8,C3,CJ,C6;S5,S4,S9,H6;CQ,D4,D2,C2;D8,DJ,SK,D7;C5,D6,S10,DA;S3,D5,H9,CA"
1539530728,0,4,0,2,D,"D7,D3,D9,DA;H3,HK,H8,HA;C5,CQ,C8,CJ;S8,SA,S3,S4;D10,SK,S5,S10;D4,S2,HJ,D2;C6,C10,H10,C4;CK,H6,SJ,H7;C2,C3,S7,CA;D5,H4,S6,H9"
1539530728,0,3,0,2,H,"S10,H2,SA,S4;H5,CK,C6,C4;HJ,H7,H6,H4;S5,C7,S2,C8;HK,D8,C2,D2;D9,D10,DK,DJ;S7,C10,D5,D3;SQ,CJ,D6,D7;SJ,CQ,DQ,CA"
1539530728,0,3,13,2,S,"S9,D2,SQ,S5;DA,D4,D8,D7;S6,C3,S3,DJ;H10,H3,H2,HQ;D9,C4,D10,D6;D5,C7,DQ,H5;SK,CJ,S7,HK;C5,CA,H6,C9"
1539530728,0,4,14,2,H,"DQ,DA,D4,H7;C8,CQ,C5,C6;HA,DJ,D8,HK;HJ,H10,D9,C2;H6,H5,C10,C4;H4,D7,S5,CJ;SQ,D10,S4,SK"
1539530728,0,1,11,2,D,"HJ,H8,HK,H10;H2,CQ,CA,C10;S7,H3,SK,SJ;D9,C5,CJ,C7;S6,H5,D2,D4;S8,H7,D10,DQ"
1539530728,0,0,10,2,C,"D2,D5,D4,DK;S3,C3,H10,C7;H7,S4,S7,S2;D8,H5,DJ,SJ;D10,H8,DA,H4"
1539530728,0,2,12,2,D,"D5,S6,DA,H10;C10,CK,CQ,H7;SA,SK,SJ,S10;D7,C7,D2,H4"
1539530728,0,0,10,2,S,"D2,CA,D9,CK;H2,C5,D7,C7;HJ,D3,SJ,S3"
1539530729,1,0,10,1,C,"SK,H4,CJ,S3;HJ,D2,D4,D3;SQ,D5,DA,CK"
1539530729,1,0,10,1,H,"H5,CQ,H3,HK;S7,C9,S10,SK;C10,D10,D4,SA;DA,DQ,C5,H2"
1539530729,1,2,12,1,S,"H2,H8,S8,HJ;S4,D5,C4,CJ;H10,HA,CK,H7;D9,S6,CQ,SA;H6,S2,D10,DJ"
1539530729,1,1,0,1,C,"C8,C5,C3,H8;DJ,D3,DQ,D2;D7,H10,D4,DA;H7,S3,SJ,SQ;H6,S4,D9,D5;H5,S9,HQ,D6"
1539530729,1,0,10,1,S,"S6,C5,SJ,S4;C8,H4,SA,S10;CA,C2,C3,D9;C9,HA,C4,D2;D10,HQ,D3,DJ;HK,H7,DK,D5;CK,H3,H9,H2"
1539530729,1,3,13,1,D,"C4,CK,C8,C7;HK,H5,H9,H4;D4,D8,D5,H7;SK,S7,D9,SJ;S2,D7,DJ,H3;S5,H8,CA,C10;S6,SQ,C5,H6;S9,D2,HJ,S4"
1539530729,1,2,12,1,S,"C4,CA,C2,CJ;HK,H5,H2,H8;SJ,S8,SK,S6;S3,SQ,S2,C8;DQ,D9,DA,D3;S10,D2,D4,D5;S7,H10,D8,HJ;H7,C9,D7,C3;CK,CQ,D6,C7"
1539530729,1,3,0,1,C,"C4,C9,CK,CQ;D4,C2,CJ,CA;SA,S6,S2,S3;H4,H6,C5,HK;D7,C10,C8,DJ;S7,D5,DK,D6;H8,H2,C6,S8;SK,S4,S5,S10;SQ,D10,D2,H3;HQ,H9,D3,H5"
1539530729,1,3,0,1,C,"DA,D5,D2,D7;HQ,H7,HK,H3;DJ,C8,CK,C2;SJ,CA,C7,C10;H9,HA,C5,H6;S8,C3,C6,C4;S3,SQ,S4,S2;H4,HJ,SA,S10;D4,DK,DQ,D10;D3,D8,D9,CJ;H2,S5,SK,S9"
1539530729,1,5,0,1,C,"SK,S2,S3,S7;CQ,CA,C2,C8;C9,C4,C10,SA;CJ,C6,C7,H6;H2,H3,H5,HA;D3,S8,S6,SJ;DJ,CK,DK,D2;H7,HK,H8,S4;HQ,H10,D5,S5;D8,C5,DA,D10;D9,S10,S9,DQ;HJ,SQ,D6,D4"
1539530729,1,1,0,1,D,"D4,D6,DJ,D7;D2,H9,DA,D5;C3,S5,DK,D10;CK,C4,C2,CQ;CJ,C10,C8,CA;S3,S8,SQ,S4;H7,H2,H3,H8;C6,H10,HA,C7;C9,SA,SJ,SK;H6,HK,HJ,S2;C5,S10,S9,D8"
1539530729,1,0,10,1,D,"D3,HJ,DA,DK;D6,HA,DJ,D10;D7,C5,C3,C2;H2,H7,HQ,HK;S3,C8,C10,CQ;SA,S2,S7,S5;H4,H3,H9,H8;H5,SQ,C4,C7;S8,S9,CA,SK;S10,S6,CK,H10"
1539530729,1,3,0,1,C,"HK,H2,H8,H6;CJ,C6,C3,C4;C10,C8,C5,CQ;S3,SQ,S6,S5;HJ,H5,H9,S10;D4,D6,D5,DK;H4,SK,S4,SJ;H3,HA,D8,D2;D3,CK,D10,C9"
1539530729,1,0,0,1,C,"H10,H4,H6,HJ;SQ,S7,S9,S4;C6,CK,HA,CA;C5,DK,HQ,H5;C3,SK,DJ,HK;D7,DA,D10,DQ;D5,S10,S6,S5;D3,SA,D9,H7"
1539530729,1,2,0,1,D,"D7,DK,D10,D2;C9,C4,C3,CJ;S2,S3,S8,SJ;S10,H7,D6,S9;H4,D5,DJ,S4;H10,C10,C7,CQ;HK,H3,H5,HQ"
1539530729,1,0,0,1,S,"S5,H2,SA,S8;S7,HA,S6,SK;S9,H8,H6,HK;C2,C6,C4,D8;CQ,C9,C7,D10;CJ,C10,S3,DK"
1539530729,1,1,0,1,S,"DA,D2,D3,DJ;S2,S4,SQ,SJ;H6,C3,C5,C10;HA,HJ,H9,H4;H8,D5,CJ,D6"
1539530729,1,2,0,1,H,"D8,C8,DK,D10;C10,S4,C9,C7;S2,HQ,D9,C5;HJ,H10,H2,HA"
1539530729,1,1,0,1,S,"C3,CQ,C6,C7;H5,HQ,S8,H6;H3,SQ,D6,D2"
1539530729,0,0,0,1,S,"D7,D5,DA,D4;S8,H4,C7,CQ;H8,H5,H6,CJ"
1539530729,0,2,0,1,H,"H6,C3,SQ,HK;D4,SJ,D6,D2;S7,S2,SA,S4;H7,C5,C2,SK"
1539530729,0,2,12,1,H,"S5,SK,CQ,SA;SJ,S9,CA,S2;H2,H5,D7,H7;H10,S6,DJ,S3;C8,C10,DK,C4"
1539530729,0,1,0,1,H,"H4,S10,C7,H10;CJ,CA,CQ,C2;D6,DJ,D10,D4;SK,DQ,D8,S3;S9,DK,D2,C4;C3,D5,C10,S8"
1539530729,0,2,0,1,S,"C9,DQ,C8,CK;S4,S9,C10,S2;D6,D9,D4,C3;H10,D7,D3,H4;HJ,D5,H3,C6;HA,H5,HK,C7;S5,S6,H9,CJ"
1539530729,0,2,12,1,H,"D3,D10,DK,D5;H10,H2,H4,C5;D9,D4,S10,DJ;S4,SQ,C2,SK;H3,S2,C3,S6;DQ,DA,C8,D6;C7,S9,C10,SJ;D7,S7,CJ,D8"
1539530729,0,3,0,1,C,"C10,H10,H9,H2;C6,CA,C2,CQ;S3,SQ,SA,S4;S8,SJ,S5,S10;D2,D5,D10,DA;D7,D8,D9,DQ;D4,H5,S9,H8;C8,CJ,SK,H6;D6,DK,D3,S7"
