time,pos,bid,score,first,trump,tricks
1539373700,0,0,10,1,H,"H3,C9,HA,H9;S10,S4,H7,S2;DJ,D2,SQ,S3"
1539373700,0,0,0,1,S,"CQ,CJ,C6,H9;C4,C7,H3,H4;DA,DJ,H5,D4;D5,D9,HJ,D3"
1539373700,0,0,10,1,D,"CK,C10,C6,DK;HQ,D8,S2,D9;H3,H4,S4,H10;S5,S7,SQ,SK;S9,C2,C9,D4"
1539373700,0,0,0,1,D,"C4,SA,S4,C3;H7,HJ,H9,D10;S6,SJ,SQ,S9;H5,D9,H6,CQ;C9,S8,D7,S5;H8,D2,D8,C6"
1539373700,0,0,0,1,S,"SQ,SJ,S9,S4;C3,C7,C10,CQ;DQ,D5,D6,D4;H8,HA,H9,SA;HQ,C4,C2,C6;HK,SK,H2,S7;D3,D2,C5,S8"
1539373700,0,0,0,1,C,"S10,DK,S4,S7;C2,C10,C9,C7;HA,HQ,H6,H3;D7,D2,DQ,CK;SA,C8,C4,SQ;H2,H4,C5,HK;S5,D5,D10,C3;SJ,H7,D6,S9"
1539373700,0,0,0,1,C,"S6,SA,S5,S10;HK,HA,H4,H2;D7,DA,D3,D10;C8,CQ,C3,CK;DK,DQ,H7,H5;DJ,C10,D4,C9;D5,C6,CJ,HQ;SK,S4,S7,S9;D2,S2,D8,H6"
1539373700,0,0,10,1,H,"C4,C6,C7,C5;H9,HJ,H2,H7;CK,CA,D3,C2;S2,SJ,S4,H6;D9,D2,D5,DK;S8,C10,DJ,D7;S9,S10,S5,H8;SA,S7,S6,D8;CQ,H4,H10,D10;C8,H3,SQ,C9"
1539373700,0,0,0,1,C,"H7,HK,HJ,H2;S9,S7,S2,SA;C6,C3,D2,CJ;C2,C4,D3,C10;DA,D7,D8,D4;DQ,D9,D10,DJ;DK,C5,H3,C7;SK,SQ,S4,S10;CQ,H5,H4,C8;HQ,H9,H8,SJ;D5,H6,S6,S5"
1539373700,0,0,0,1,C,"SK,S10,S2,S8;S9,S3,S5,S4;H8,HA,HK,H9;CA,CJ,C6,C3;H6,H10,S6,HJ;D3,D6,DK,D4;H7,C10,CK,DA;SA,C5,C9,DQ;D8,C4,C8,HQ;H3,D7,C7,DJ;D5,D2,D10,H4;SJ,H5,D9,SQ"
